                      $c_{A0}$;                       $Q_{1}$;                       $T_{1}$;                           $L$;                       $c_{A}$;                       $c_{B}$;                       $T_{2}$;                       $Q_{5}$;                       $Q_{4}$;                       $T_{3}$;                       $h_{7}$;                       $u_{1}$;                 $u_{3}=m_{2}$;                       $u_{2}$;                       $r_{1}$;                       $r_{2}$;                       $r_{3}$;                       $r_{4}$;                         CLASS
    0.20197E+02;    0.24920E+00;    0.29939E+02;    0.19907E+01;    0.28582E+01;    0.17142E+02;    0.80044E+02;    0.89681E+00;    0.24927E+00;    0.19951E+02;    0.55954E+05;    0.24396E+02;    0.40682E+02;    0.89852E+00;   -0.11619E-01;   -0.35257E-04;    0.30088E-02;   -0.11765E+00;normal
    0.20025E+02;    0.25263E+00;    0.30093E+02;    0.19924E+01;    0.28514E+01;    0.17231E+02;    0.79948E+02;    0.90957E+00;    0.24785E+00;    0.20072E+02;    0.55496E+05;    0.25300E+02;    0.40865E+02;    0.89972E+00;   -0.84881E-02;    0.12132E-01;   -0.24980E-02;    0.19330E+00;normal
    0.19927E+02;    0.24967E+00;    0.29982E+02;    0.19906E+01;    0.28487E+01;    0.17203E+02;    0.79822E+02;    0.89572E+00;    0.25399E+00;    0.19930E+02;    0.56024E+05;    0.25344E+02;    0.40434E+02;    0.89466E+00;   -0.11471E-01;    0.41620E-02;    0.34556E-02;    0.41850E-01;normal
    0.20189E+02;    0.25221E+00;    0.30147E+02;    0.20064E+01;    0.28413E+01;    0.17195E+02;    0.79877E+02;    0.90841E+00;    0.25167E+00;    0.20089E+02;    0.56399E+05;    0.25094E+02;    0.41017E+02;    0.90660E+00;    0.12776E-01;    0.12200E-03;    0.22181E-02;    0.48108E+00;normal
    0.19780E+02;    0.25002E+00;    0.29883E+02;    0.20073E+01;    0.28389E+01;    0.17083E+02;    0.79968E+02;    0.90345E+00;    0.25392E+00;    0.20229E+02;    0.56272E+05;    0.25605E+02;    0.40910E+02;    0.90197E+00;    0.13198E-01;   -0.13096E-02;    0.21725E-02;    0.14991E+00;normal
    0.20195E+02;    0.25085E+00;    0.30309E+02;    0.20002E+01;    0.28391E+01;    0.17291E+02;    0.79920E+02;    0.89574E+00;    0.24820E+00;    0.20170E+02;    0.56223E+05;    0.25636E+02;    0.40735E+02;    0.89691E+00;    0.28961E-02;   -0.45062E-02;   -0.36639E-02;    0.56853E+00;normal
    0.19902E+02;    0.25006E+00;    0.30022E+02;    0.20154E+01;    0.28417E+01;    0.17097E+02;    0.79700E+02;    0.90640E+00;    0.25013E+00;    0.19969E+02;    0.56216E+05;    0.25642E+02;    0.40524E+02;    0.91547E+00;    0.26157E-01;    0.11179E-01;   -0.17938E-02;    0.44727E+00;normal
    0.19884E+02;    0.25350E+00;    0.29970E+02;    0.20083E+01;    0.27960E+01;    0.17223E+02;    0.80017E+02;    0.90677E+00;    0.25038E+00;    0.19997E+02;    0.56895E+05;    0.24524E+02;    0.40483E+02;    0.89976E+00;    0.16386E-01;    0.71533E-02;    0.34945E-02;    0.48707E+00;normal
    0.20101E+02;    0.24795E+00;    0.29912E+02;    0.20055E+01;    0.28400E+01;    0.17313E+02;    0.80005E+02;    0.89587E+00;    0.24669E+00;    0.19764E+02;    0.56793E+05;    0.25510E+02;    0.40578E+02;    0.90569E+00;    0.12067E-01;   -0.51979E-02;   -0.46313E-02;    0.80432E+00;normal
    0.20154E+02;    0.25293E+00;    0.29962E+02;    0.19999E+01;    0.28373E+01;    0.16863E+02;    0.80094E+02;    0.89266E+00;    0.25291E+00;    0.20159E+02;    0.56319E+05;    0.25239E+02;    0.40491E+02;    0.90878E+00;    0.35168E-02;   -0.25975E-02;    0.28169E-02;   -0.73811E+00;normal
    0.20091E+02;    0.24978E+00;    0.30037E+02;    0.19854E+01;    0.28389E+01;    0.17305E+02;    0.80241E+02;    0.89865E+00;    0.24457E+00;    0.20097E+02;    0.55724E+05;    0.25614E+02;    0.40916E+02;    0.89787E+00;   -0.18252E-01;   -0.18265E-02;   -0.71566E-02;    0.14574E+00;normal
    0.20093E+02;    0.25267E+00;    0.30167E+02;    0.20091E+01;    0.28504E+01;    0.17151E+02;    0.79962E+02;    0.89684E+00;    0.25070E+00;    0.19996E+02;    0.55956E+05;    0.25284E+02;    0.40526E+02;    0.90828E+00;    0.17086E-01;    0.36520E-02;    0.38501E-03;    0.44004E+00;normal
    0.19847E+02;    0.25080E+00;    0.29959E+02;    0.20176E+01;    0.28397E+01;    0.17183E+02;    0.80177E+02;    0.91245E+00;    0.25114E+00;    0.20097E+02;    0.56446E+05;    0.25771E+02;    0.40634E+02;    0.89707E+00;    0.30170E-01;    0.12803E-01;   -0.13669E-02;    0.76765E+00;normal
    0.19896E+02;    0.25207E+00;    0.29723E+02;    0.20019E+01;    0.28268E+01;    0.17005E+02;    0.79834E+02;    0.89523E+00;    0.24643E+00;    0.19731E+02;    0.56022E+05;    0.25079E+02;    0.40769E+02;    0.90214E+00;    0.61526E-02;   -0.41882E-02;   -0.29465E-02;   -0.28509E+00;normal
    0.19569E+02;    0.25092E+00;    0.29938E+02;    0.20047E+01;    0.28938E+01;    0.17000E+02;    0.79818E+02;    0.90600E+00;    0.24908E+00;    0.20107E+02;    0.56753E+05;    0.24649E+02;    0.40757E+02;    0.89497E+00;    0.10471E-01;    0.99846E-03;    0.16306E-02;   -0.32271E-02;normal
    0.20042E+02;    0.25144E+00;    0.29854E+02;    0.19943E+01;    0.28361E+01;    0.17063E+02;    0.80074E+02;    0.89106E+00;    0.25241E+00;    0.19898E+02;    0.56149E+05;    0.25214E+02;    0.40827E+02;    0.89635E+00;   -0.55272E-02;   -0.10761E-01;    0.24478E-02;   -0.31326E+00;normal
    0.20212E+02;    0.25002E+00;    0.30354E+02;    0.19958E+01;    0.28628E+01;    0.17206E+02;    0.79790E+02;    0.90652E+00;    0.24866E+00;    0.20008E+02;    0.56397E+05;    0.25384E+02;    0.40589E+02;    0.90371E+00;   -0.32401E-02;    0.83290E-02;   -0.20748E-02;    0.24151E+00;normal
    0.20029E+02;    0.24696E+00;    0.30084E+02;    0.19870E+01;    0.28669E+01;    0.17092E+02;    0.80208E+02;    0.90556E+00;    0.24988E+00;    0.19913E+02;    0.55544E+05;    0.25265E+02;    0.40610E+02;    0.89872E+00;   -0.16532E-01;    0.13696E-01;   -0.29767E-03;   -0.34642E+00;normal
    0.19968E+02;    0.25092E+00;    0.30124E+02;    0.19900E+01;    0.28600E+01;    0.17340E+02;    0.79651E+02;    0.90189E+00;    0.24543E+00;    0.19938E+02;    0.56618E+05;    0.25657E+02;    0.40701E+02;    0.90484E+00;   -0.12206E-01;   -0.69748E-03;   -0.65046E-02;    0.45027E+00;normal
    0.20117E+02;    0.24987E+00;    0.29873E+02;    0.20086E+01;    0.28240E+01;    0.17161E+02;    0.80247E+02;    0.89527E+00;    0.25425E+00;    0.20064E+02;    0.55955E+05;    0.25252E+02;    0.40843E+02;    0.90774E+00;    0.16180E-01;   -0.53478E-02;    0.40719E-02;    0.37158E+00;normal
